"Reference","Qty","Value","Package","Part Number"
"T1","1","ZMPT101B","None",""
"R15_Shunt1","1","0.001_1%_5W","None",""
"DS1","1","4311","None",""
"U5","1","IP5306","eSOP8 INJOINIC",""
"R5,R10,R11,R12,R13,R14","6","20k_1206","3216-2 Panasonic",""
"R9","1","360_1206","3116 Yageo",""
"R16,R17,R18","3","4.7k_0805","2012 Stackpole",""
"C1,C2","2","22pF_0805","0805 Kemet",""
"X1","1","SMD5032-4","",""
"U6","1","INA226","",""
"U4","1","AMS1117-3.3","","AMS1117-3.3"
"U3","1","CH340G","",""
"U1","1","STM32F103C8Tx","","STM32F103C8T6TR"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27","27","0.5mm","",""
"SW6,SW7,SW8","3","SW_Push","","PTS636 SK25 SMTR LFS"
"SW4","1","EC11E15244G1","",""
"R35,R36","2","2","",""
"R32","1","33R_1%_2512","",""
"R27,R30,R31,R33","4","470k_1206","",""
"R22,R23,R24,R25","4","100R_1206","",""
"R19,R21,R28,R37,R38,R42","6","10k_1206","",""
"R7,R8","2","1k_2512","",""
"R4,R6","2","10R_0805","",""
"R3","1","10k","",""
"R1,R2","2","5.1K","","ERJ-8GEYJ512V"
"L1","1","1.0uH","",""
"J9","1","3.5mm","",""
"J4,J5,J6,J10","4","Conn_01x01","",""
"J3","1","USB_C_Receptacle","",""
"J2","1","Conn_01x04_Pin","",""
"J1","1","Conn_Jack_Stereo_3.5mm_SMD_RA","",""
"FB1","1","FerriteBead","",""
"D5,D6","2","PESD5Z3.3","",""
"D1,D2,D3,D4","4","Red","",""
"C15,C17","2","10nF_0805","",""
"C13,C34,C36,C37,C38,C39,C41,C43","8","10uF","",""
"C8,C10,C11,C12,C14,C16,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27","16","100nF_0805","",""
"C4,C5,C9","3","22uF","",""
"C3,C6","2","1.0uF","",""
